"address","area","bedrooms","date","floors","price","title","url"
"Đường Ngọc Thụy, ,, Phường Ngọc Thụy, ,, Quận Long Biên, , Hà Nội","86 m2","4 phòng ngủ","Hôm nay","6 lầu","29,9 tỷ","NHÀ ĐEP MẶT PHỐ Ô TO CHÁNH Ngọc Thụy-Long Biên  86m2,X  5 tầng, MT  3.5m, 29.9 tỷ.","https://alonhadat.com.vn/nha-dep-mat-pho-o-to-chanh-ngoc-thuy-long-bien-86m2-x-5-tang-mt-3-5m-29-9-ty--16303925.html"
"Phố Hồng Tiến, ,, Phường Bồ Đề, ,, Quận Long Biên, , Hà Nội","36 m2","3 phòng ngủ","Hôm nay","5 lầu","8,8 tỷ","NHÀ DÂN XÂY - 15M RA PHỐ - NGÕ THÔNG - Ô TÔ ĐỖ CỬA Hồng Tiến-Long Biên 36m2, 4 tầng, MT 3","https://alonhadat.com.vn/nha-dan-xay-15m-ra-pho-ngo-thong-o-to-do-cua-hong-tien-long-bien-36m2-4-tang-mt-3-16303779.html"
"Đường Đức Giang, ,, Phường Ngọc Lâm, ,, Quận Long Biên, , Hà Nội","55 m2","","Hôm nay","","6,3 tỷ","BÁN ĐẤT Ô TÔ ĐỖ CỬA NGÕ THÔNG Đức Giang-Long Biên 55m2,X MT 3.5m, 6.3 tỷ.","https://alonhadat.com.vn/ban-dat-o-to-do-cua-ngo-thong-duc-giang-long-bien-55m2-x-mt-3-5m-6-3-ty--16303610.html"
"Đường Tư Đình, ,, Phường Long Biên, ,, Quận Long Biên, , Hà Nội","56 m2","","Hôm nay","1 lầu","8,6 tỷ","ĐẤT MẶT NGÕ Ô TÔ THÔNG CHÁNH Tư Đình-Long Biên 56 m2,mặt tiền 4.6m, 8.6 tỷ.","https://alonhadat.com.vn/dat-mat-ngo-o-to-thong-chanh-tu-dinh-long-bien-56-m2-mat-tien-4-6m-8-6-ty--16297624.html"
"Xã Thư Phú, ,, Huyện Thường Tín, , Hà Nội","48 m2","","Hôm nay","","2 tỷ","Mảnh đất tại Thư Phú, Thường Tín, Hà Nội  Đường trước đất 3m ô tô vào đất.","https://alonhadat.com.vn/manh-dat-tai-thu-phu-thuong-tin-ha-noi-duong-truoc-dat-3m-o-to-vao-dat--16308990.html"
"Đường Khương Đình, ,, Phường Khương Đình, ,, Quận Thanh Xuân, , Hà Nội","48 m2","3 phòng ngủ","Hôm nay","4 lầu","7,1 tỷ","Siêu Ngon! Nhà Khương Đình, 48m2*4Tầng, Gần Bãi Ô Tô, Ngõ Thông, 3 Bước Chân Ra Phố","https://alonhadat.com.vn/sieu-ngon-nha-khuong-dinh-48m2-4tang-gan-bai-o-to-ngo-thong-3-buoc-chan-ra-pho-16308984.html"
"Xã Vân Nội, ,, Huyện Đông Anh, , Hà Nội","50 m2","","Hôm nay","","2,8 tỷ","CHỦ CẦN BÁN GẤP GIÁa RẺ NGÕ THÔNG Ô TÔ ĐỖ CỬA VÂN NỘI","https://alonhadat.com.vn/chu-can-ban-gap-giaa-re-ngo-thong-o-to-do-cua-vannoi-15648567.html"
"Xã Vĩnh Ngọc, ,, Huyện Đông Anh, , Hà Nội","73 m2","","Hôm nay","","9,9 tỷ","CẦN BÁNN GẤP ĐẤT ĐẸP NGÕ THÔNG Ô TÔ TRÁNH KINH DOANH SẦM UẤT NGÀY ĐÊM VĨNH NGỌC ZÁ RẺ","https://alonhadat.com.vn/can-bann-gap-dat-dep-ngo-thong-o-to-tranh-kinh-doanh-sam-uat-ngay-dem-vinh-ngoc-za-re-15871950.html"
"Xã Đại Mạch, ,, Huyện Đông Anh, , Hà Nội","48 m2","3 phòng ngủ","Hôm nay","3 lầu","4,2 tỷ","NHÀ 3 TẦNG ĐẸP GẦN CẦU THƯỢNG CÁT _ĐẠI MẠCH ZÁ RẺ","https://alonhadat.com.vn/nha-3-tang-dep-gan-cau-thuong-cat-dai-mach-za-re-15872605.html"
"Xã Đại Mạch, ,, Huyện Đông Anh, , Hà Nội","80 m2","3 phòng ngủ","Hôm nay","3 lầu","7,8 tỷ","BÁNn NHÀ 3 TẦNG LÔ GÓC KINH DOANH SẦM UẤT NGÀY ĐÊM ĐẠI MẠCH 80m ZÁ RẺ","https://alonhadat.com.vn/bann-nha-3-tang-lo-goc-kinh-doanh-sam-uat-ngay-dem-dai-mach-80m-za-re-15873167.html"
"Xã Đại Mạch, ,, Huyện Đông Anh, , Hà Nội","123 m2","","Hôm nay","","6,7 tỷ","CẦN BÁNn GẤP ĐẤT ĐẸP NGÕ THÔNG Ô TÔ GẦN HỒ ĐIỀU HOÀ ĐẠI MẠCH _ĐÔNG ANH 123m ZÁ RẺ","https://alonhadat.com.vn/can-bann-gap-dat-dep-ngo-thong-o-to-gan-ho-dieu-hoa-dai-mach-dong-anh-123m-za-re-15873462.html"
"Xã Đại Mạch, ,, Huyện Đông Anh, , Hà Nội","109 m2","","Hôm nay","","4,4 tỷ","CẦN BÁNn ĐẤT ĐẸP NGÕ THÔNG Ô TÔ 109m ĐẠI MẠCH ZÁ RẺ","https://alonhadat.com.vn/can-bann-dat-dep-ngo-thong-o-to-109m-dai-mach-za-re-15873628.html"
"Phố Chiến Thắng, ,, Phường Văn Quán, ,, Quận Hà Đông, , Hà Nội","39 m2","4 phòng ngủ","Hôm nay","5 lầu","12,5 tỷ","Bán Nhà Chiến Thắng Phân Lô, 5 Tầng Dân Xây, Nhà Mới Full Nội Thất, MT4.3/DT39m, 12.5 Tỷ","https://alonhadat.com.vn/ban-nha-chien-thang-phan-lo-5-tang-dan-xay-nha-moi-full-noi-that-mt4-3-dt39m-12-5-ty-15830864.html"
"Phố Văn Quán, ,, Phường Văn Quán, ,, Quận Hà Đông, , Hà Nội","44 m2","2 phòng ngủ","Hôm nay","2 lầu","11,9 tỷ","Cực Hiếm Bán Nhà Văn Quán Phân Lô, 2 Mặt Phố, Kinh Doanh, MT3.8m, DT 44m2, Giá 11.9 Tỷ","https://alonhadat.com.vn/cuc-hiem-ban-nha-van-quan-phan-lo-2-mat-pho-kinh-doanh-mt3-8m-dt-44m2-gia-11-9-ty-15830869.html"
"Phố Đội cấn, ,, Phường Đội Cấn, ,, Quận Ba Đình, , Hà Nội","110 m2","4 phòng ngủ","Hôm nay","","5,3 tỷ","4PN, 2VS - TẬP THỂ ĐỘI CẤN, BA ĐÌNH, ĐỦ NỘI THẤT VỀ Ở NGAY","https://alonhadat.com.vn/4pn-2vs-ban-nha-tap-the-doi-can-ba-dinh-khu-vip-can-bo-cao-cap-15938571.html"
