"Description","Location","Price","Price per m²","Space","Title"
"6 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","LÊ TRỌNG TẤN_THANH XUÂN_50M_5 TẦG PHÂN LÔ_LÔ GÓC_NGÕ THÔNG_GIÁ 13,9 TỶ"
"3 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","BÁN NHÀ THANH LÂN – NHÀ ĐẸP 5 TẦN5 – NGÕ NÔNG - FUL NỘI THẤT"
"1 PN • Chung cư","Huyện Gia Lâm • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","BÁN NHANH CĂN 1N +GIÁ 2.250 TR FULL NỘI THẤT TẠI VINHOMES OCEAN PARK"
"nhiều hơn 10 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","CHDV MỄ TRÌ_62M2_7T TM_17P KK_DÒNG TIỀN 95TR/TH_OTO 50M_PCCC ĐẠT CHUẨN"
"4 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","MỸ ĐÌNH_DÂN XÂY_39M 4T_50M Ô TÔ_2 THOÁNG_ GẦN ĐH THƯƠNG MẠI"
"Đất thổ cư • Ngang 5 m","Huyện Mỹ Đức • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","CC cần bán đất Hợp Tiến sát Hồ Quan Sơn 1000ha"
"2 PN • Chung cư","Huyện Gia Lâm • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","Cần bán căn góc 2PN+1,2WC 70m2 giá 3.2 tỷ tại Vinhomes Ocean Park"
"3 PN • Chung cư","Quận Nam Từ Liêm • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","🔥🔥GẤP!! KHÔNG THỂ RẺ HƠN S402 98m 3n2vs, full đồ, tầng trung, sẵn sổ"
"2 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","NHÀ BÁN PHỐ ĐỊNH CÔNG 20M/4T/3 NGỦ /GIÁ 2,8 TỶ KHÔNG QUY HOẠCH"
"3 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","BÁN NHÀ HOÀ BÌNH 3 – NAHF ĐẸP 4 TẦNG - TRƯỚC NHÀ 3M – 50M RA PHỐ"
"2 PN • Chung cư","Huyện Gia Lâm • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","Bán căn 2PN diện tích 68m2 giá 3.1 tỷ tại Vinhomes Ocean Park"
"4 PN • Nhà mặt phố, mặt tiền","Huyện Thanh Trì • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","Bán nhà Phân Lô Khu Tập Thể Pin Phan Trọng Tuệ Thanh Trì"
"1 PN • Hướng Nam • Căn hộ dịch vụ, mini","Quận Ba Đình • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","Hiếm có: Căn hộ trung tâm Đống Đa, có sân riêng như nhà phố!"
"5 PN • Nhà ngõ, hẻm","Quận Tây Hồ • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","🏡 BÁN NHÀ SIÊU ĐẸP - NGÕ THỤY KHUÊ - GẦN HỒ TÂY - DIỆN TÍCH 35M"
