address,area,bedrooms,date,floors,price,title,road,ward,district,address_complete,road_cat,ward_cat,district_cat,price_converted,is_price_per_m2,price_per_m2
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",80,1,Hôm nay,1," 7,5 tỷ","🥇ĐẤT NGUYỄN VĂN CỪ 80M, MT8M, MẢNH ĐẤT RỘNG THOÁNG TRƯỚC SAU-3 BƯỚC RA ÔTÔ TRÁNH DỪNG ĐỖ",Nguyễn Văn Cừ,Gia Thụy,Long Biên,1,564,54,11,7500.0,False,93.75
"Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",36,3,Hôm nay,6," 8,65 tỷ","🔥CÒN DUY NHẤT 1 CĂN GIÁ RẺ, NGỌC LÂM 36M, 6T GIÁ CHÀO 8,x TỶ. LÔ GÓC, Ô TÔ, THANG MÁY, NG",Ngọc Lâm,Ngọc Lâm,Long Biên,1,603,157,11,8650.0,False,240.27777777777777
"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",56,1,Hôm nay,1," 15,5 tỷ","👉MẶT PHỐ, NGÔ GIA TỰ, 56M, MT4M, VỈA HÈ ĐÁ BÓNG, KINH DOANH ĐA DẠNG, DÒNG TIỀN ỔN ĐỊNH.",Ngô Gia Tự,Đức Giang,Long Biên,1,587,390,11,15500.0,False,276.7857142857143
"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",32,3,Hôm nay,5," 5,2 tỷ","🥇CĂN DUY NHẤT, NGÕ THÔNG, Ô TÔ , LÔ GÓC, PHÚC LỢI 32M,5T, MT4,6M MÀ GIÁ 5,x TỶ(x NHƯ KHÔN",Phúc Lợi,Phúc Lợi,Long Biên,1,667,193,11,5200.0,False,162.5
"Phố Lệ Mật, Phường Việt Hưng, Quận Long Biên, Hà Nội",58,3,Hôm nay,3, 7 tỷ,"🏡VIỆT HƯNG, DIỆN TÍCH RỘNG 58m, 3T, MT5m GIÁ CHÀO 7TỶ - Ô TÔ ĐỖ CỔNG.",Lệ Mật,Việt Hưng,Long Biên,1,445,313,11,7000.0,False,120.6896551724138
"Đường Gia Thượng, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",32,3,Hôm nay,4," 5,1 tỷ","🏡NHÀ ĐẸP DÂN XÂY NGỌC THUỴ GIÁ RẺ, 32M, 4T GIÁ CHÀO 5,1TỶ.",Gia Thượng,Ngọc Thụy,Long Biên,1,183,159,11,5100.0,False,159.375
"Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",70,3,Hôm nay,4," 10,5 tỷ","BÁN🏡 SIÊU MẪU THƯỢNG THANH, 70m, 4T, MT5,2m. DÂN XÂY, Ô TÔ THÔNG, GIÁ CHÀO NHỈNH 10TỶ.",Thượng Thanh,Thượng Thanh,Long Biên,1,763,247,11,10500.0,False,150.0
"Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",58,3,Hôm nay,3," 5,5 tỷ","NHÀ DÂN XÂY, THƯỢNG THANH, 58m,3T, NHỈNH 5TỶ - THOÁNG TRƯỚC SAU, Ô TÔ ĐỖ CỔNG.",Thượng Thanh,Thượng Thanh,Long Biên,1,763,247,11,5500.0,False,94.82758620689656
"Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội",32,3,Hôm nay,5," 7,85 tỷ",💥NGUYỄN SƠN - LÔ GÓC 2 THOÁNG - Ô TÔ ĐỖ CỬA - TẶNG FULL NỘI THẤT.,Nguyễn Sơn,Gia Thụy,Long Biên,1,544,54,11,7850.0,False,245.3125
"Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",52,1,Hôm nay,1," 6,6 tỷ","🔊🔊🔊BÁN ĐẤT ĐỨC GIANG, KHU PHÂN LÔ QUÂN ĐỘI - Ô TÔ TRÁNH - 2 THOÁNG.",Đức Giang,Đức Giang,Long Biên,1,1139,390,11,6600.0,False,126.92307692307692
"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",30,1,Hôm nay,1," 5,4 tỷ","BÁN MẢNH ĐẤT ĐẸP TẠI ĐỨC GIANG, 30M GIÁ NHỈNH 5 TỶ. Ô TÔ THÔNG, VÀO ĐẤT, PHÂN LÔ KINH DOAN",Ngô Gia Tự,Đức Giang,Long Biên,1,587,390,11,5400.0,False,180.0
"Đường Ngô Gia Tự, Phường Việt Hưng, Quận Long Biên, Hà Nội",52,3,Hôm nay,3," 6,6 tỷ","BÁN NHÀ DÂN XÂY, VIỆT HƯNG 50m GIÁ NHỈNH 6 TỶ. RẤT GẦN PHỐ TƯƠNG LẠI RẠNG NGỜI.",Ngô Gia Tự,Việt Hưng,Long Biên,1,587,313,11,6600.0,False,126.92307692307692
"Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",62,1,Hôm nay,1," 7,6 tỷ","BÁN ĐẤT SIÊU ĐẸP ĐỨC GIANG, 62m MT4m NGÕ THÔNG Ô TÔ, GIÁ ĐẦU TƯ NHỈNH 7 TỶ.",Đức Giang,Đức Giang,Long Biên,1,1139,390,11,7600.0,False,122.58064516129032
"Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",62,1,Hôm nay,2," 11,5 tỷ","BÁN ĐẤT, BÁN VỊ TRÍ VÔ CÙNG ĐẸP, THƯỢNG THANH, 62m, MT4,5m GIÁ NHỈNH 11TỶ, LÔ GÓC, 3🚗TRÁN",Thượng Thanh,Thượng Thanh,Long Biên,1,763,247,11,11500.0,False,185.48387096774192
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",62,4,Hôm nay,5," 9,1 tỷ","NHÀ DÂN XÂY, NGỌC THUỴ 62M, 5T, MT4M, GIÁ CHÀO 9 TỶ. LÔ GÓC, 4MẶT THOÁNG, Ô TÔ ĐỖ CỬA.",Ngọc Thụy,Ngọc Thụy,Long Biên,1,604,159,11,9100.0,False,146.7741935483871
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",40,3,Hôm nay,4," 6,7 tỷ","CẦN BÁN GẤP NHÀ NGỌC THUỴ, 40M, DÂN XÂY, LÔ GÓC .",Ngọc Thụy,Ngọc Thụy,Long Biên,1,604,159,11,6700.0,False,167.5
"Đường Nguyễn Lam, Phường Phúc Đồng, Quận Long Biên, Hà Nội",34,1,Hôm nay,1," 11,2 tỷ","BÁN ĐẤT MẶT PHỐ,Nằm Giữa Hai Mặt Phố Nguyễn Lam Và Mai phúc Ngã Tư To Kinh Doanh Vỉa Hè Rộ",Nguyễn Lam,Phúc Đồng,Long Biên,1,527,196,11,11200.0,False,329.4117647058824
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",42,3,Hôm nay,5," 6,5 tỷ","BÁN ĐẤT TẶNG NHÀ 5 TẦNG, NGỌC THUỴ 42M MT5M, GIÁ CHÀO 6,x TỶ( x NHỎ). LÔ GÓC 2 THOÁNG. ✅N",Ngọc Thụy,Ngọc Thụy,Long Biên,1,604,159,11,6500.0,False,154.76190476190476
"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",50,4,Hôm nay,4," 7,5 tỷ","BÁN NHÀ DÂN XÂY, NGÔ GIA TỰ 50M, 4T, MT5,8M TRUNG TÂM QUẬN, NGÕ THÔNG Ô TÔ, RẤT GẦN PHỐ. C",Ngô Gia Tự,Đức Giang,Long Biên,1,587,390,11,7500.0,False,150.0
"Đường Phúc Đồng, Phường Phúc Đồng, Quận Long Biên, Hà Nội",42,3,Hôm nay,6," 13,2 tỷ","HÓT_🏡918 PHÚC ĐỒNG, 42m,6T,MT5m , PHÂN LÔ QUÂN ĐỘI THÔNG BÀN CỜ, VỈA HÈ, Ô TÔ, THANG MÁY,",Phúc Đồng,Phúc Đồng,Long Biên,1,671,196,11,13200.0,False,314.2857142857143
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",40,4,Hôm nay,5," 12,5 tỷ","BÁN NHÀ NGUYỄN VĂN CỪ LONG BIÊN 40M-5TẦNG-4MT.12,5TỶ VỈA HÈ Ô TÔ TRÁNH KINH DOANH ĐỈNH",Nguyễn Văn Cừ,Ngọc Lâm,Long Biên,1,564,157,11,12500.0,False,312.5
"Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",135,6,Hôm nay,4," 15,4 tỷ","RẤT HIẾM NGỌC LÂM 90/135M-4 TẦNG-4,5MT. 15,4TỶ 1 NHÀ DÂN XÂY CHẮC CHẮN Ở SƯỚNG",Ngọc Lâm,Ngọc Lâm,Long Biên,1,603,157,11,15400.0,False,114.07407407407408
"Phố Ái Mộ, Phường Bồ Đề, Quận Long Biên, Hà Nội",30,2,Hôm nay,2," 12,8 tỷ","BÁN ĐẤT ÁI MỘ TẶNG NHÀ 30/60M-2TẦNG-16MT.12,8 TỶ LÔ GÓC Ô TÔ TRÁNH KINH DOANH BẤT CHẤP",Ái Mộ,Bồ Đề,Long Biên,1,1034,19,11,12800.0,False,426.6666666666667
"Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",69,2,Hôm nay,2, 13 tỷ,BÁN ĐẤT HỒNG TIẾN TẶNG NHÀ 29/69M-2TẦNG-16MT.13TỶ LÔ GÓC Ô TÔ TRÁNH KINH DOANH BẤT CHẤP,Hồng Tiến,Bồ Đề,Long Biên,1,327,19,11,13000.0,False,188.40579710144928
"Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội",69,2,Hôm nay,2," 18,7 tỷ","BÁN ĐẤT LÂM HẠ TẶNG NHÀ 69M-2TẦNG-5MT.18,7 TỶ LÔ GÓC Ô TÔ TRÁNH KINH DOANH BẤT CHẤP",Lâm Hạ,Bồ Đề,Long Biên,1,391,19,11,18700.0,False,271.0144927536232
"Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",72,6,Hôm nay,6," 28,5 tỷ",HIẾM MẶT PHỐ NGỌC LÂM LBIEN 72M-6TẦNG-5MT.29TỶ NHÀ ĐẸP THANG MÁY KINH DOANH DÒNG TIỀN,Ngọc Lâm,Ngọc Lâm,Long Biên,1,603,157,11,28500.0,False,395.8333333333333
"Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",90,6,Hôm nay,7, 28 tỷ,HIẾM MẶT PHỐ CỔ LINH LBIEN 90M-7TẦNG-5MT.28TỶ NHÀ ĐẸP THANG MÁY KINH DOANH DÒNG TIỀN,Cổ Linh,Long Biên,Long Biên,1,147,117,11,28000.0,False,311.1111111111111
"Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội",70,6,Hôm nay,6, 26 tỷ,"HIẾM ĐẸP MẶT PHỐ LÂM HẠ LBIEN 70M-6TẦNG-4,5MT.26 TỶ NHÀ ĐẸP THANG MÁY KINH DOANH DÒNG TIỀN",Lâm Hạ,Bồ Đề,Long Biên,1,391,19,11,26000.0,False,371.42857142857144
"Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",70,6,Hôm nay,6, 28 tỷ,HIẾM MẶT PHỐ HỒNG TIẾN LBIEN 70M-6TẦNG-5MT.28TỶ NHÀ ĐẸP THANG MÁY KINH DOANH DÒNG TIỀN,Hồng Tiến,Bồ Đề,Long Biên,1,327,19,11,28000.0,False,400.0
"Phố Ái Mộ, Phường Bồ Đề, Quận Long Biên, Hà Nội",68,6,Hôm nay,6," 26,5 tỷ","HIẾM MẶT PHỐ ÁI MỘ LBIEN 68M-6TẦNG-5MT.26,5TỶ NHÀ ĐẸP THANG MÁY KINH DOANH DÒNG TIỀN",Ái Mộ,Bồ Đề,Long Biên,1,1034,19,11,26500.0,False,389.70588235294116
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Quận Long Biên, Hà Nội",70,6,Hôm nay,7," 26,3 tỷ","MẶT PHỐ HOÀNG NHƯ TIẾP LBIEN 70M-7TẦNG-5MT.26,3TỶ NHÀ ĐẸP THANG MÁY KINH DOANH DÒNG TIỀN",Hoàng Như Tiếp,Bồ Đề,Long Biên,1,204,19,11,26300.0,False,375.7142857142857
"Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",85,6,Hôm nay,5," 21,5 tỷ","SIÊU PHẨM HIẾM CỔ LINH LONG BIÊN 85M-5 TẦNG-4,5MT.21,5 TỶ VỈA HÈ KINH DOANH BẤT CHẤP",Cổ Linh,Long Biên,Long Biên,1,147,117,11,21500.0,False,252.94117647058823
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",80,4,Hôm nay,4," 12,5 tỷ","HÀNG HIẾM NHÀ NGỌC THỤY 80M-4 TẦNG-5MT.12,5 TỶ VỈA HÈ Ô TÔ TRÁNH DÂN XÂY AN SINH ĐỈNH",Ngọc Thụy,Ngọc Thụy,Long Biên,1,604,159,11,12500.0,False,156.25
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",115,1,Hôm nay,1," 21,2 tỷ","ĐỘC QUYỀN ĐẤT NGỌC THỤY PHÂN LÔ 115M-6,5MT.21,2 TỶ VỈA HÈ Ô TÔ 3 CON TRÁNH XÂY TÒA",Ngọc Thụy,Ngọc Thụy,Long Biên,1,604,159,11,21200.0,False,184.34782608695653
"Phố Gia Quất, Phường Thượng Thanh, Quận Long Biên, Hà Nội",84,1,Hôm nay,1," 15,5 tỷ","HÀNG HIẾM NHANH CHÂN GIA QUẤT LONG BIÊN ĐẤT84M-5,5MT,15,5TỶ NGÕ THÔNG Ô TÔ VÀO ĐẤT",Gia Quất,Thượng Thanh,Long Biên,1,182,247,11,15500.0,False,184.52380952380952
"Đường Lý Sơn, Phường Thượng Thanh, Quận Long Biên, Hà Nội",85,1,Hôm nay,1," 14,5 tỷ","GẤP GẤP RẤT HIẾM PHÂN LÔ THƯỢNG THANH LONG BIÊN 85M-C4-6.14,5 TỶ VỈA HÈ KINH DOANH",Lý Sơn,Thượng Thanh,Long Biên,1,422,247,11,14500.0,False,170.58823529411765
"Đường Thanh Am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",60,6,Hôm nay,5," 12,95 tỷ","NHÀ ĐẸP DÂN XÂY PHÂN LÔ THANH AM 60M-5 TẦNG-4,6MT.12,95TỶ VỈA HÈ KINH DOANH Ô TÔ TRÁNH",Thanh Am,Thượng Thanh,Long Biên,1,733,247,11,12950.0,False,215.83333333333334
"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",155,8,Hôm nay,5, 41 tỷ,CỰC PHẨM PHỐ TRẠM LONG BIÊN155M-5TẦNG-22MT.41TỶ LÔ GÓC KINH DOANH VỊ TRÍ KIM CƯƠNG,Trạm,Long Biên,Long Biên,1,826,117,11,41000.0,False,264.51612903225805
"Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội",153,8,Hôm nay,5, 42 tỷ,BIỆT THỰ CỰC PHẨM LÂM HẠ LONG BIÊN 153M-5TẦNG-22MT.42TỶ LÔ GÓC KINH DOANH VỊ TRÍ KIM CƯƠNG,Lâm Hạ,Bồ Đề,Long Biên,1,391,19,11,42000.0,False,274.5098039215686
"Phường Việt Hưng, Quận Long Biên, Hà Nội",45,4,Hôm qua,6," 9,8 tỷ","NHÀ ĐẸP VIỆT HƯNG LONG BIÊN – LÔ GÓC, GARA ÔTÔ, THANG MÁY – DT 45M² – NHỈNH 9 TỶ",,Việt Hưng,Long Biên,0,-1,313,11,9800.0,False,217.77777777777777
"Đường Thanh Nhàn, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",40,3,Hôm qua,6, 12 tỷ,"PHỐ THANH NHÀN, Ô TÔ, KINH DOANH, 6 TẦNG, THANG MÁY, 2 THOÁNG, FUN NỘI THẤT, 12 TỶ",Thanh Nhàn,Bạch Mai,Hai Bà Trưng,1,740,7,6,12000.0,False,300.0
"Phố Trần Cung, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",80,3,Hôm qua,3, 25 tỷ,BÁN ĐẤT TẶNG NHÀ 3T GẦN MP TRẦN CUNG CẦU GIẤY DT 80M2 MT 5M Ô TÔ KINH DOANH NHỈNH 25 TỶ,Trần Cung,Nghĩa Đô,Cầu Giấy,1,830,145,4,25000.0,False,312.5
"Đường Phú Xá, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",85,5,Hôm qua,4, 18 tỷ,Bán nhà Phú Thượng Tây Hồ 85m mặt tiền 6m đường thông ô tô vào nhà giá 18 tỷ,Phú Xá,Phú Thượng,Tây Hồ,1,661,184,25,18000.0,False,211.76470588235293
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",56,4,Hôm qua,4, 18 tỷ,Bán nhà Xuân La 4 tầng 56m2 MT 4.3m phân lô vỉa hè ô tô tránh giá 18 tỷ,Xuân La,Xuân La,Tây Hồ,1,992,338,25,18000.0,False,321.42857142857144
"Phố Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",48,4,Hôm qua,5," 17,5 tỷ",CỰC HÓT BÁN NHÀ PHÂN LÔ- GIÁP BÁT HOÀNG MAI- Ô TÔ VÀO NHÀ - VỈA HÈ - NHÀ ĐẸP KINH DOANH C,Kim Đồng,Giáp Bát,Hoàng Mai,1,357,56,9,17500.0,False,364.5833333333333
"Đường Nguyễn Chính, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",30,3,Hôm qua,4," 5,25 tỷ",Bán gấp nhà Nguyễn Chính - Tân Mai 4 tầng 30m2 oto cách 7m giá chỉ 5.25 tỷ,Nguyễn Chính,Tân Mai,Hoàng Mai,1,499,293,9,5250.0,False,175.0
"Phố Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",29,3,Hôm qua,4," 6,3 tỷ",BÁN NHÀ NGÕ 559 KIM NGƯU HAI BÀ TRƯNG – 30M2 – 4 TẦNG – FULL NỘI THẤT,Kim Ngưu,Vĩnh Tuy,Hai Bà Trưng,1,354,311,6,6300.0,False,217.24137931034483
"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",65,4,Hôm qua,8," 24,8 tỷ",1 nhà ra mặt phố oto 7 chỗ vào phố Cầu Giấy 65m 24.8 tỷ 8 tầng thang máy sổ vuông nhà đẹp,Cầu Giấy,Quan Hoa,Cầu Giấy,1,127,204,4,24800.0,False,381.53846153846155
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",65,2,Hôm qua,1," 3,95 tỷ",Chính chủ bán căn hộ OCT5A Resco Cổ Nhuế P308 2 ngủ 3.95 tỷ 65m nhà đẹp vuông đét ở ngay,Cổ Nhuế,Cổ Nhuế 2,Bắc Từ Liêm,1,149,38,2,3950.0,False,60.76923076923077
"Phố Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",50,3,Hôm qua,6," 9,45 tỷ",SIÊU PHẨM LONG BIÊN - 50 M² - LÔ GÓC - 6 TẦNG THANG MÁY - NHÀ MỚI - OTO 7 CHỖ THÔNG - 3,Kẻ Tạnh,Giang Biên,Long Biên,1,362,55,11,9450.0,False,189.0
