area,balcony_direction,house_direction,facade_width,price,interior,legality,bedrooms,bathrooms,floors,title,road_width,price_per_m2
65.0,0,0,0.0,3400.0,2,2,2,2,0,"Gia đình em bán căn hộ tòa Park - 65m2 - full nội thất, có sổ 3,4 tỷ - miễn trung gian",0.0,52.30769230769231
50.0,0,1,4.0,6550.0,0,2,0,0,0,"Bán đất dịch vụ 3 phường Đồng Mai, quận Hà Đông tiềm năng sinh lời cao",13.0,131.0
62.0,0,0,0.0,1990.0,0,1,2,2,0,GIA ĐÌNH CÓ 2 CĂN 62M2 HƯỚNG ĐÔNG NAM CẦN BÁN. LH XEM NHÀ : 0909 086 ***,0.0,32.096774193548384
120.0,0,0,7.0,7300.0,1,2,7,3,3,"Chủ giảm 1 tỷ còn 7,3 tỷ TL nhà 3 tầng mới mặt tiền 7m. Kế bên Citi Home, Citi Bella, Quận 2, HCM",4.0,60.833333333333336
77.1,0,0,0.0,3300.0,2,2,3,2,0,"Căn 3 PN vị trí đẹp, giá đẹp tại chung cư Kyoto Vinhomes Thanh Hóa",0.0,42.80155642023347
124.8,0,0,4.0,9200.0,0,1,0,0,0,"Bán đất tại Xã Vân Nội, Đông Anh, Hà Nội, giá siêu hời 9,198 tỷ, 124.8m2",4.0,73.71794871794872
68.0,0,0,5.0,6000.0,0,2,0,0,0,"Bán 68m2 đất sổ đỏ, mặt đường trục chính Võng La, view trước mặt thoáng vĩnh viễn (Có thương lượng)",8.0,88.23529411764706
92.0,0,3,5.0,4000.0,0,2,0,0,0,"Cc cần Bán đất đường Hoà Phú 16 (Gò Nãy 9 cũ) thuộc Marina Đà Nẵng Bay, Phường Hòa Minh, Liên Chiểu",5.0,43.47826086956522
59.0,0,0,0.0,3170.0,0,0,0,0,0,"Chiết Khấu 1,1 Tỷ Đồng Vào Giá Bán - Bán Nhanh Căn 2PN View Trực Diện Vườn Nhật, Hồ Bơi, Hồ Cá Koi",0.0,53.728813559322035
55.0,0,5,6.0,4200.0,1,2,2,2,2,"Bán nhà riêng 2PN, 2WC, 55m2 tại Đường 8, Long Bình, Q9, Hồ Chí Minh, giá siêu hời 4,2 tỷ",6.0,76.36363636363636
32.0,0,0,0.0,2350.0,1,0,1,1,0,"Cần bán gấp officetel Rivergate, 32m2, full nội thất, lầu cao, giá 2.350 tỷ. LH: 0906 378 ***",0.0,73.4375
107.0,0,0,0.0,11000.0,2,2,3,2,0,"Tin chuẩn, căn 3PN view sông cần bán nhanh giá 11 tỷ đã có sổ hồng, view cận sông, tầng cao full NT",0.0,102.80373831775701
60.0,0,0,0.0,2000.0,2,2,2,2,0,"Bán căn hộ The Parkland giá rẻ dt 59m2,hỗ trợ vay bank chỉ 2.150tr",0.0,33.333333333333336
150.0,0,0,8.0,17500.0,0,2,0,0,0,Bán góc 150m2 ngang 8m đường Lương Nhữ Hộc đối diện BV Quốc Tế Vinmec. LH: 0793 258 ***,7.0,116.66666666666667
82.5,0,0,0.0,4800.0,1,1,2,2,0,"Những góc nhìn mới về dự án căn hộ đáng đầu tư tại mặt biển Đà Nẵng, The Sang Residence, Maichiland",0.0,58.18181818181818
75.0,5,1,0.0,2750.0,1,1,2,2,0,"Bán căn hộ 2 phòng ngủ Tulip, Hoàng Quốc Việt, Quận 7 giá 2,750 tỷ",0.0,36.666666666666664
60.0,0,3,4.0,3800.0,0,2,2,1,2,Nhà 60m2 - 2 tầng - hẻm ôtô thông - sát ngã tư Bốn Xã - chợ Gò Xoài - Bình Tân,5.0,63.333333333333336
53.0,0,0,4.0,3750.0,0,2,0,0,0,"Bán Đất HXH Đường Số 11 Kênh Tham Lương Giáp Tân Phú 53m2 (4,5x12) Giá Tốt 3,75 Tỷ SHR",6.0,70.75471698113208
260.0,0,0,10.0,5400.0,0,2,3,3,0,"Chính chủ gửi bán nhà đẹp tại Tân Bình, Dĩ An DT 260m2 (10x26m) gần đường liên huyện",7.0,20.76923076923077
73.0,0,0,5.0,2550.0,0,1,2,1,1,"Bán rẻ nhà Bình An, Dĩ An gần Thủ Đức",2.0,34.93150684931507
