Title,price_converted,price_per_m2,area,bedrooms,property_type,district,property_cat,district_cat
BÁN NHÀ THANH LÂN – NHÀ ĐẸP 5 TẦN5 – NGÕ NÔNG - FUL NỘI THẤT,13900.0,278.0,50.0,3.0,"Nhà ngõ, hẻm",Quận Hoàng Mai,68,21
MỸ ĐÌNH_DÂN XÂY_39M 4T_50M Ô TÔ_2 THOÁNG_ GẦN ĐH THƯƠNG MẠI,13900.0,278.0,50.0,4.0,"Nhà ngõ, hẻm",Quận Nam Từ Liêm,68,24
"Cần bán căn góc 2PN+1,2WC 70m2 giá 3.2 tỷ tại Vinhomes Ocean Park",13900.0,278.0,50.0,2.0,Chung cư,Huyện Gia Lâm,0,2
"🔥🔥GẤP!! KHÔNG THỂ RẺ HƠN S402 98m 3n2vs, full đồ, tầng trung, sẵn sổ",13900.0,278.0,50.0,3.0,Chung cư,Quận Nam Từ Liêm,0,24
"NHÀ BÁN PHỐ ĐỊNH CÔNG 20M/4T/3 NGỦ /GIÁ 2,8 TỶ KHÔNG QUY HOẠCH",13900.0,278.0,50.0,2.0,"Nhà ngõ, hẻm",Quận Hoàng Mai,68,21
BÁN NHÀ HOÀ BÌNH 3 – NAHF ĐẸP 4 TẦNG - TRƯỚC NHÀ 3M – 50M RA PHỐ,13900.0,278.0,50.0,3.0,"Nhà ngõ, hẻm",Quận Hai Bà Trưng,68,19
Bán căn 2PN diện tích 68m2 giá 3.1 tỷ tại Vinhomes Ocean Park,13900.0,278.0,50.0,2.0,Chung cư,Huyện Gia Lâm,0,2
Bán nhà Phân Lô Khu Tập Thể Pin Phan Trọng Tuệ Thanh Trì,13900.0,278.0,50.0,4.0,"Nhà mặt phố, mặt tiền",Huyện Thanh Trì,67,10
🏡 BÁN NHÀ SIÊU ĐẸP - NGÕ THỤY KHUÊ - GẦN HỒ TÂY - DIỆN TÍCH 35M,13900.0,278.0,50.0,5.0,"Nhà ngõ, hẻm",Quận Tây Hồ,68,26
"CHÍNH CHỦ BÁN NHÀ TRUNG PHỤNG, NHÀ ĐẸP , NGÕ XE 3 GÁC , 35M, 7,9 TỶ",13900.0,278.0,50.0,4.0,"Nhà ngõ, hẻm",Quận Đống Đa,68,27
"MẶT PHỐ HOÀNG VĂN THÁI, THANH XUÂN - 38M - 6 TẦNG - Nhỉnh 15 Tỷ",13900.0,278.0,50.0,5.0,"Nhà mặt phố, mặt tiền",Quận Thanh Xuân,67,25
"BÁN CHUNG CƯ C3 NGỌC LÂM, NGUYỄN VĂN CỪ, Ở NGAY, OTO ĐỖ CỬA, FULL ĐỒ",13900.0,278.0,50.0,2.0,Hướng Bắc,Quận Long Biên,3,23
TẬP THỂ MẶT PHỐ CỔ THI SÁCH 80m2 SỔ ĐỎ NHÀ ĐẸP 2 NGỦ VIEW MẶT PHỐ Ô TO,13900.0,278.0,50.0,2.0,"Tập thể, cư xá",Quận Hai Bà Trưng,72,19
"[SIÊU HIẾM] PHÂN LÔ PHỐ TÂY SƠN, ĐỐNG ĐA - NGÕ TO NHƯ PHỐ - 52M CHỈ NH",13900.0,278.0,50.0,5.0,"Nhà mặt phố, mặt tiền",Quận Đống Đa,67,27
"View Hai Con Rồng Hồ Tây – giá ""con ong"" 🐝 Chủ ôm Coin, cần bán gấp!",8200.0,205.0,40.0,4.0,"Nhà ngõ, hẻm",Quận Tây Hồ,68,26
