"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Mức giá internet","Mức giá nước","Mức giá điện","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","Thời gian dự kiến vào ở","Tiện ích","title","url","Đường vào"
"107 m²","","","","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Bán căn hộ Han Jardin T6 và T7 view hồ, giá từ 13,9 đến 41 tỷ, DT 104 107 252m2, xem nhà luôn","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-dinh-phuong-xuan-dinh-prj-chung-cu-han-jardin/ban-t6-va-t7-view-gia-tu-13-9-den-41-ty-dt-104-107-252m2-xem-nha-luon-pr42812670",""
"65 m²","","","","3,4 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Gia đình em bán căn hộ tòa Park - 65m2 - full nội thất, có sổ 3,4 tỷ - miễn trung gian","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-5-xa-dong-hoi-prj-eurowindow-river-park/gia-dinh-em-ban-toa-65m-full-noi-that-co-so-3-4-ty-mien-trung-gian-pr42762596",""
"50 m²","","Bắc","4 m","6,55 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán đất dịch vụ 3 phường Đồng Mai, quận Hà Đông tiềm năng sinh lời cao","https://batdongsan.com.vn/ban-dat-duong-co-ban-phuong-dong-mai-1/-dich-vu-3-quan-ha-tiem-nang-sinh-loi-cao-pr41936561","13 m"
"150 m²","","Đông - Nam","5 m","7,99 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","1 tầng","","","Giảm 500 Triệu Nhà C4 5mx30m Mặt Tiền Đường Phạm Thị Giây, Thới Tam Thôn, Hóc Môn, Giá: 7.990 Tỷ","https://batdongsan.com.vn/ban-nha-mat-pho-duong-pham-thi-giay-xa-thoi-tam-thon/giam-500-trieu-c4-5mx30m-tien-hoc-mon-gia-7-990-ty-pr42910142","20 m"
"62 m²","","","","1,99 tỷ","","","","","Hợp đồng mua bán","2 phòng","2 phòng","","","","GIA ĐÌNH CÓ 2 CĂN 62M2 HƯỚNG ĐÔNG NAM CẦN BÁN. LH XEM NHÀ : 0909 086 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-trinh-quang-nghi-phuong-7-6-prj-dream-home-palace/gia-dinh-co-2-62m2-huong-dong-nam-ban-lh-xem-nha-pr42638237",""
"101 m²","","","","14 triệu/tháng","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Cho thuê căn hộ An Cư, phường An Phú, Quận 2 giá 14 triệu 2PN 2WC","https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-thai-thuan-phuong-an-phu-prj-chung-cu-an-cu/c-qu-2-gia-14-trieu-2pn-2wc-pr41637993",""
"120 m²","","","7 m","7,3 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","7 phòng","3 phòng","3 tầng","","","Chủ giảm 1 tỷ còn 7,3 tỷ TL nhà 3 tầng mới mặt tiền 7m. Kế bên Citi Home, Citi Bella, Quận 2, HCM","https://batdongsan.com.vn/ban-nha-rieng-duong-so-2-phuong-cat-lai/ban-quan-2-3-tang-moi-dep-dt-120m2-gia-9-3-ty-tl-2-quan-2-pr39455143","4 m"
"77,1 m²","Đông - Bắc","Tây - Nam","","3,3 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Căn 3 PN vị trí đẹp, giá đẹp tại chung cư Kyoto Vinhomes Thanh Hóa","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-loi-1-phuong-dong-hai_1-prj-vinhomes-star-city/-3-pn-vi-tri-dep-gia-dep-tai-kyoto-thanh-hoa-pr42905261",""
"500 m²","","","","2 tỷ","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Chính chủ cần tiền bán đất Suối Mây giá ngộp, LH 0938 191 ***","https://batdongsan.com.vn/ban-dat-duong-cua-lap-suoi-may-xa-duong-to/chinh-chu-can-tien-ban-gia-ngop-lh-pr42697294",""
"124,8 m²","","","4,9 m","9,2 tỷ","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Bán đất tại Xã Vân Nội, Đông Anh, Hà Nội, giá siêu hời 9,198 tỷ, 124.8m2","https://batdongsan.com.vn/ban-dat-xa-van-noi/ban-tai-dong-anh-ha-gia-sieu-hoi-9-198-ty-127m2-pr42535362","4,3 m"
"68 m²","","","5 m","6 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán 68m2 đất sổ đỏ, mặt đường trục chính Võng La, view trước mặt thoáng vĩnh viễn (Có thương lượng)","https://batdongsan.com.vn/ban-dat-xa-vong-la/ban-68m2-so-do-mat-duong-truc-chinh-view-truoc-mat-thoang-vinh-vien-pr42622150","8 m"
"2.126 m²","","","","150 tỷ","","","","","Có sổ","","","","","","BÁN ĐẤT LỚN MẶT TIỀN ĐƯỜNG TẦM VU, P.HƯNG LỢI, Q.NINH KIỀU, CẦN THƠ","https://batdongsan.com.vn/ban-dat-duong-tam-vu-phuong-hung-loi/ban-lon-mat-tien-p-q-ninh-kieu-can-tho-pr42844616",""
"92 m²","","Đông","5 m","4 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Cc cần Bán đất đường Hoà Phú 16 (Gò Nãy 9 cũ) thuộc Marina Đà Nẵng Bay, Phường Hòa Minh, Liên Chiểu","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-nguyen-sinh-sac-phuong-hoa-minh-prj-marina-da-nang-bay/cc-can-ban-phu-16-pr42520156","5,5 m"
"59 m²","Tây - Bắc","Đông - Nam","","3,17 tỷ","","","","","","","","","","","Chiết Khấu 1,1 Tỷ Đồng Vào Giá Bán - Bán Nhanh Căn 2PN View Trực Diện Vườn Nhật, Hồ Bơi, Hồ Cá Koi","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/chiet-khau-1-1-ty-dong-vao-gia-ban-ban-nhanh-2pn-view-truc-dien-vuon-nhat-boi-ca-koi-pr42921787",""
